"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1902405920434614548","Wed Mar 19 17:04:51 +0000 2025","54","Pada tahun 1800 Alessandro Volta membuat kemajuan ilmiah yang inovatif dengan penemuan baterai listriknya yang dia jelaskan dalam sebuah surat kepada Joseph Banks presiden Royal Society of London. Baterai Volta yang dikenal sebagai Voltaic Pile adalah perangkat pertama https://t.co/e1Tr1LawQT","1902405920434614548","https://pbs.twimg.com/media/Gma0GX_aMAAnGd9.jpg","","in","Kota Bandung, Jawa Barat","0","59","0","https://x.com/Pelaripalsu/status/1902405920434614548","232012119","Pelaripalsu"
"1902480386846028147","Wed Mar 19 22:00:45 +0000 2025","210","Dwi Fungsi TNI Belum disyahkan sj RUU TNI mereka sdh mencuri start dg menjadi Petugas utk menghalau para demonstran yg akan menyampaikan aspirasinya ke Gedung DPR. Memang benar kata Mayor Teddy bhw Presiden Prabowo itu alergi demo. Ngeri bingit jirrrrr..... #TolakRUUTNI https://t.co/ks5wYIvhB4","1902480386846028147","https://pbs.twimg.com/ext_tw_video_thumb/1902480327941267457/pu/img/Er9BqYeDdcdUIct_.jpg","","in","Cengkareng, Indonesia","6","14","144","https://x.com/NenkMonica/status/1902480386846028147","1040306964100669440","NenkMonica"
"1901981841026060536","Tue Mar 18 12:59:42 +0000 2025","61","Benarkah kondisi ekonomi Indonesia baik-baik saja? Sejak Prabowo menjadi presiden $IHSG telah turun dari 7700 ke 6050. IHSG dpt dilihat sebagai indikator kesehatan ekonomi Indonesia karena harga saham dipengaruhi oleh kinerja perusahaan ekspektasi pasar faktor makro ekonomi","1901981841026060536","","","in","","0","3","16","https://x.com/harrysofian/status/1901981841026060536","197428680","harrysofian"
"1900438263837401428","Fri Mar 14 06:46:05 +0000 2025","857","Presiden no comment https://t.co/t6CgLsSljf","1900438263837401428","https://pbs.twimg.com/ext_tw_video_thumb/1900438229733855232/pu/img/uOLymCYwKlb2PsDs.jpg","","en","Indonesia ","35","187","219","https://x.com/Mdy_Asmara1701/status/1900438263837401428","1334853481019056128","Mdy_Asmara1701"
"1847848544750981300","Sun Oct 20 03:53:19 +0000 2024","666","Hari ini (20/10/2024) Prabowo Subianto bersama Gibran Rakabuming Raka akan dilantik sebagai Presiden dan Wakil Presiden RI periode 2024-2029. Pelantikan digelar di Gedung Nusantara Komplek Parlemen Senayan Jakarta. Selamat bekerja untuk Presiden dan Wakil Presiden baru https://t.co/k5dWRINA3b","1847848544750981300","https://pbs.twimg.com/media/GaTgc9dbUAAxSBb.jpg","","in","대전","16","142","66","https://x.com/kegblgnunfaedh/status/1847848544750981300","1172167188800655360","kegblgnunfaedh"
"1900738846100517357","Sat Mar 15 02:40:29 +0000 2025","109","Barisan Pemuda RI kaget mantan presiden hanya diam aja lihat kekacauan korupsi besar. padahal punya mulut... Biasanya orang yg diem itu emas beda halnya dgn korupsi emas 5000 triliun di era mantan presiden menjabat 10 tahun lalu https://t.co/kWuX4t85Uy","1900738846100517357","https://pbs.twimg.com/ext_tw_video_thumb/1900738790937030656/pu/img/5H8XwMEAbu9z9ALI.jpg","","in","Jakarta Capital Region","7","62","77","https://x.com/BarisanPemudaRI/status/1900738846100517357","87901651","BarisanPemudaRI"
"1900303771458298063","Thu Mar 13 21:51:39 +0000 2025","2173","Yes or No ??? Aku sihh Yes ... https://t.co/QRjsPaWYrf","1900303771458298063","https://pbs.twimg.com/ext_tw_video_thumb/1899774181862002688/pu/img/aOItB4bbqv5gqtbn.jpg","","in","BARUS  ","33","322","684","https://x.com/PresidenKopi/status/1900303771458298063","1021329195329179648","PresidenKopi"
"1900625078515343491","Fri Mar 14 19:08:25 +0000 2025","13","Malapetaka itu dimulai dari sini !!!! https://t.co/SBquUaZoVZ","1900625078515343491","https://pbs.twimg.com/ext_tw_video_thumb/1900385668364460037/pu/img/lAmfwe34eNjuN5yL.jpg","","in","BARUS  ","0","5","1","https://x.com/PresidenKopi/status/1900625078515343491","1021329195329179648","PresidenKopi"
"1902630876787437601","Thu Mar 20 07:58:44 +0000 2025","2","Keterangan Pers Presiden Prabowo Subianto Usai Resmikan KEK Industropolis Batang Jawa Tengah 20 Maret 2025 Presiden RI Prabowo Subianto mengatakan hari ini telah resminya KEK menjadi tonggak awal dalam melaksanakan pembangunan bangsa melalui hilirisasi dan industrialisasi. Ia https://t.co/jvISVsPmxe","1902630876787437601","https://pbs.twimg.com/ext_tw_video_thumb/1902630789004857344/pu/img/WLCr1bFlZZTA791k.jpg","","in","","0","0","2","https://x.com/Ndons_Back/status/1902630876787437601","1289954556411969537","Ndons_Back"
"1901639188271050863","Mon Mar 17 14:18:07 +0000 2025","592","Hasto : Jokowi yg inisiatif perubahan UU KPK Jokowi : itu kan udah disepakati dgn DPR saya kan gak bisa apa2 Prof Jimly Asshiddiqie : jawaban Jokowi ini ngeles atau denial. Presiden bisa menolak revisi UU KPK yg isinya pelemahan KPK. https://t.co/D24Lo7tnwI","1901639188271050863","https://pbs.twimg.com/ext_tw_video_thumb/1901638943382306816/pu/img/WMxW1EVO_xlrJEAC.jpg","","in","","6","20","183","https://x.com/Bambangmulyonoo/status/1901639188271050863","1296312516901916672","Bambangmulyonoo"
