"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1902321497517293692","Wed Mar 19 11:29:23 +0000 2025","855","Saya pribadi no comment 10 thn dibawah jokowi parcok merajalela sdh bikin derita lalu kini hijau pula mengingatkan masa orba. Keduanya sama buruknya... ‍️‍️‍️‍️ https://t.co/elpkGDjWGx","1902321497517293692","https://pbs.twimg.com/ext_tw_video_thumb/1902321449748328448/pu/img/i3bVMOE1gC6DSUpl.jpg","","in","DKI Jakarta, Indonesia🇲🇨","3","12","336","https://x.com/ommi_siregar/status/1902321497517293692","1429787631496220677","ommi_siregar"
"1901783311112126627","Mon Mar 17 23:50:49 +0000 2025","35","Serangan balik Hasto via Connie. - pembunuhan di KM 50 atas perintah Jokowi - Jokowi penerima aliran dana judol via Sambo - suara pasangan PS Samsul pd pilpres 2024 aselinya 35% - Iriana Jokowi minta Samsul jd wapres dgn cara apapun - duit Jokowi capai 1000 trilyun (?) https://t.co/wbhX3iEirE","1901783311112126627","https://pbs.twimg.com/ext_tw_video_thumb/1901783235891437568/pu/img/5e2iIlq2V1QsM42s.jpg","","in","ur dream","0","2","10","https://x.com/d4ndelion_22/status/1901783311112126627","1344237194383220736","d4ndelion_22"
"1901610650738262181","Mon Mar 17 12:24:44 +0000 2025","24","Bagi yg ga percaya dengan ijazah pak Jokowi katanya palsu ini lho video reuni pakde dengan dosen pembimbingnya di UGM. Nama dosen yg membimbing skripsi pak Jokowi namanya pak Kasmudjo. Beliau terkenal sebagai dosen yg galak. Tapi alhamdulillah pakde lulus juga tahun 1985. https://t.co/EYFxAB8jzV","1901610650738262181","https://pbs.twimg.com/amplify_video_thumb/1901610572363550720/img/KjwBKoPUmRGjpkV_.jpg","","in","Indonesia","1","17","4","https://x.com/narkosun/status/1901610650738262181","84221579","narkosun"
"1901602837072945276","Mon Mar 17 11:53:41 +0000 2025","410","Negara Devisit pemgusaha pada bangkrut ga mampu bayar pajak dan semua beban devisit Rakayat disuruh bayar dengan cara Rajia kendaraan bermotor disita. Kejam. Masih percaya dengan Prabowo mana sita aset koruptor. Dan itu kucing cuma teriak Hidup.JOKOWI https://t.co/PBxbMiDloa","1901602837072945276","https://pbs.twimg.com/ext_tw_video_thumb/1901602270913220608/pu/img/Mmj388mRdSMGwqy6.jpg","","in","Indonesia","12","42","195","https://x.com/LULUSAN_SD_/status/1901602837072945276","1154359993895751680","LULUSAN_SD_"
"1901559532129755185","Mon Mar 17 09:01:36 +0000 2025","3217"," Cukup! Sudah cukup! Kami terlalu menderita! kata seorang perempuan adat di hadapan pejabat Pemerintah Provinsi Papua Selatan yang menyuarakan penolakan terhadap Proyek Strategis Nasional (PSN) warisan Jokowi. https://t.co/uesWvPkLpY","1901559532129755185","https://pbs.twimg.com/ext_tw_video_thumb/1901559354786238464/pu/img/oVxJDExRmdTPJTsC.jpg","","in","","25","30","1360","https://x.com/MasBRO_back/status/1901559532129755185","1729354223614304256","MasBRO_back"
"1901126957724742011","Sun Mar 16 04:22:42 +0000 2025","111","Pdip Mega pdip Puan PDIP Soekarnois bersama Prabowo Jokowi SBY yang brisik Banteng Kubu judol Ibu lagi bersih2 dari dalam dengan permainan Politik tingkat tingginya https://t.co/gi5DjXoztv","1901126957724742011","https://pbs.twimg.com/media/GmIo5JKaEAAVqF2.jpg","","in","I N D O N E S I A","4","16","37","https://x.com/Heraloebss/status/1901126957724742011","1251824880967774208","Heraloebss"
"1900470666673127809","Fri Mar 14 08:54:50 +0000 2025","2","Artis Vicky prasetyo yang pernah mencalonkan diri sebagai Bupati Pemalang di Pilkada 2024 mendatangi rumah Joko Widodo (Jokowi) di Solo Jawa Tengah Jumat (14/3/2025). Vicky yang gagal jadi bupati menemui Jokowi secara tertutup selama kurang lebih satu jam. Vicky Prasetyo https://t.co/CN9AavzMqf","1900470666673127809","https://pbs.twimg.com/media/Gl_T5Q-asAAmtES.jpg","","in","Jakarta","0","1","0","https://x.com/kompascom/status/1900470666673127809","23343960","kompascom"
"1901631058489315798","Mon Mar 17 13:45:49 +0000 2025","110","Megawati itu sudah biasa sudah sering dikhianati &amp; dizalimi pihak lain tapi tidak pernah membalas atau dendam beliau tetap tabah. Ketika dizalimi pemerintahan/rezim Soeharto jg tidak pernah dendam /membalas. Yang sekarang ini dikhianati dan dizalimi Jokowi juga tdk membalas. https://t.co/JPeQXZUnea","1901631058489315798","https://pbs.twimg.com/ext_tw_video_thumb/1901630978172575745/pu/img/5_htGPeH6vv196WX.jpg","","in","Indonesia","1","5","25","https://x.com/DoankWarto/status/1901631058489315798","938664737369341952","DoankWarto"
"1899939305835159560","Wed Mar 12 21:43:24 +0000 2025","1318","Mentang² punya kewenangan jd semuanya ditrabas.. Inilah rusaknya kepemimpinan Jokowi kemarin . akhirnya jadi contoh bagi yg lain untuk melakukan hal yg semena².. Padahal diatas kewenangan ada UU . kalau menyalahi UU kewenangan mu jg jadi salah Gw yg sipil aja ngerti.! https://t.co/Q0WG65AqFs","1899939305835159560","https://pbs.twimg.com/ext_tw_video_thumb/1899939183273070592/pu/img/VhMFRz0EKhqEUBtY.jpg","","in","","51","251","587","https://x.com/Ko_aliong/status/1899939305835159560","1674669202664484864","Ko_aliong"
"1902033284277895325","Tue Mar 18 16:24:07 +0000 2025","467","[Check Back] pertemuan Jokowi di Hotel Manohara Borobudur Bersama peneliti UGM 19/6/2016 Klarifikasi terkait keaslian ijazah Presiden Joko Widodo (Jokowi) disampaikan oleh Universitas Gadjah Mada (UGM) pada tanggal 11 Oktober 2022. Sudah 6 tahun mereka bersuara:) https://t.co/hxtr4UeoVg","1902033284277895325","https://pbs.twimg.com/ext_tw_video_thumb/1902032748736565248/pu/img/v7H5GHFQhIOjNqlU.jpg","","in","North Pole, AK","5","35","226","https://x.com/Opposisi6890/status/1902033284277895325","1724993917672894464","Opposisi6890"
